createdAt,url,positivePrompt,negativePrompt,nsfw,nsfwLevel,browsingLevel,likeCount,dislikeCount,heartCount,cryCount,laughCount,commentCount,username,Model,Meta,VAE,Resource1,Resource2,Resource3,Resource4,Resource5,Resource6
2024-09-01T01:23:59.835Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/836e5899-5806-440c-a26f-efc12a467442/width=832/836e5899-5806-440c-a26f-efc12a467442.jpeg,A silhouette of Michael Jordan in the iconic hangman pose soaring through the night sky with the full moon clasped in both hands poised to dunk it into an invisible hoop against a backdrop of twinkling stars.,,False,None,1,1571,0,549,80,234,10,Grymauch,,"Size: , Seed: 127192275769176, Steps: 25, Sampler: Euler, Version: ",N/A,,,,,,
2024-09-07T06:21:24.298Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/f59f147c-864d-4b05-a88b-6afb4b26e630/width=1240/f59f147c-864d-4b05-a88b-6afb4b26e630.jpeg,score_9score_8_upscore_7_up1girlanimal earscloudoutdoorsskylong hairscenerycloudy skybuildingrainskirtsolobagcityscapebootsreflectioncitystandingfrom behinddogpantyhoseskylinefacing awaytaillong sleevesblue themewaterskyscraperjacketpleated skirtfur trimcat earsholdinganimalblue skirt,"score_4,score_3,score_2,score_1,ugly,bad hands,",False,None,1,1599,0,556,102,176,0,Tonade,T-ponynai3-v6.5,"Size: 776x1072, Seed: 1190330630, Steps: 25, Sampler: Euler a, Version: v1.6.1",sdxlVAE_sdxlVAE.safetensors,"Name: T-ponynai3-v6.5, Type: model, Weight: N/A",,,,,
2024-04-19T17:55:08.256Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/208ee4af-53d6-4463-a77e-d71f1d274bc5/width=832/208ee4af-53d6-4463-a77e-d71f1d274bc5.jpeg,score_9 score_8_up score_7_up  adult gothic fairy with colorful hair (sexy pose: 1.3) fantastical cornflower blue themed background ultra sharp glowing particles   <lora:PonyMinimalStyle:1> MinimalStyle,"hat, bad hands, nude, naked, grainy,",False,None,1,1477,0,635,90,231,2,Manuka,zavyfantasiaxlPDXL_v10,"Size: 832x1216, Seed: 4085977372, Steps: 30, Sampler: DPM++ SDE Karras, Version: f0.0.15v1.8.0rc-latest-234-g79bdb786",N/A,"Name: PonyMinimalStyle, Type: lora, Weight: 1","Name: zavyfantasiaxlPDXL_v10, Type: model, Weight: N/A",,,,
2024-05-03T01:19:39.809Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/0f6e948e-d612-47d2-891d-d246234511e2/width=1800/0f6e948e-d612-47d2-891d-d246234511e2.jpeg,<loractl:envybetterhiresfixxl01-xl:0.0:hr=1.0> <lora:add-detail-xl:2.4> <lora:more_artful-xl:0.6> <lora:lyco-style-envydramaticlightingxl01_digital_art-xl:0.5> famous artwork inspired by (caspar david friedrich:1.4) and (stellaris:1.2) anime movie poster style beautiful otherworldly (extraterrestrial mythical landscape:1.2) at night (arcane beautiful flora:1.2) supernatural and quixotic structures jagged rock formations biomorphic night sky nebula ethereal dappled light black teal purple (blue:0.8) (cyan:0.8) (bordeaux red:0.7) (yellow:0.7) dark corners ultra detailed 8k uhd,"ng-beyond_sdxl-v3, ng-ac_neg1-xl, ng-ac_neg2-xl, crooked sphere, crooked circle, sun",False,None,1,1537,0,606,77,212,8,OneViolentGentleman,wildcardx-xl-fusion-og,"Size: 960x1280, Seed: 88888888, Steps: 72, Sampler: DPM++ 3M SDE, Version: v1.9.3",sdxl_vae.safetensors,"Name: add-detail-xl, Type: lora, Weight: 2.4","Name: more_artful-xl, Type: lora, Weight: 0.6","Name: lyco-style-envydramaticlightingxl01_digital_art-xl, Type: lora, Weight: 0.5","Name: wildcardx-xl-fusion-og, Type: model, Weight: N/A",,
2024-04-18T17:38:22.960Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/74d5ff86-43c0-459e-9201-cf5082bd150f/width=896/74d5ff86-43c0-459e-9201-cf5082bd150f.jpeg,Fox mask Surreal Imaginative creation Textured Fluid contours Engineered Ornate stand Dark background abundance,,False,None,1,1463,0,656,95,218,1,DeepDemiurge,openxlVersion22_v22,"Size: 896x1152, Seed: 3816352153389456400, Steps: 60, Sampler: dpmpp_3m_sde_gpu, Version: Fooocus v2.3.1",N/A,"Name: Zaxious_XL_Spruce-It-Up, Type: lora, Weight: N/A","Name: openxlVersion22_v22, Type: model, Weight: N/A",,,,
2024-09-20T18:30:35.550Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/114e612a-7edb-4f82-8225-381a4fa003f7/width=1800/114e612a-7edb-4f82-8225-381a4fa003f7.jpeg,A huge turtle on the back shell of the turtle is a huge paradise like island at the edge of the island are waterfalls that flow down from the turtle the turtle walks across a huge barren desert and fights against an midage army who fights again the turtle with catapults they try to climb up the legs of the turtle but are falling down a huge and long manbuild stone wall is supposed to block the turtle's path The turtle spits fire against the wall,,False,None,1,1558,0,597,67,211,3,emogie3D,,"Size: , Seed: 105, Steps: 16, Sampler: Euler, Version: ",N/A,,,,,,
2024-04-13T08:23:14.982Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/00659139-267f-4720-9489-1ae24aa67a7d/width=832/00659139-267f-4720-9489-1ae24aa67a7d.jpeg,A captivating conceptual artwork that portrays a minimalist gallery space with the main focus being a monochrome fluid flowing from a painting on the wall. The fluid gradually transitions into a vibrant colorful stream as it reaches the floor evoking the image of a river meandering through the space. The black and white realm gives way to a vibrant explosion of color symbolizing the birth of creativity and the power of art. The serene atmosphere invites viewers to contemplate the essence of artistic expression and the transformative nature of color. painting conceptual art,"Cartoon, blurry, low-quality, unnatural colors, distorted proportions, excessive nudity, poor lighting, inappropriate content, grotesque features, unattractive, poorly edited, out of focus, crude lines, amateurish, unprofessional, bizarre elements, disfigured, deformed, strange composition, unrealistic, poor pose, awkward expression, off-putting, weird perspective, poorly drawn, bad anatomy.",False,None,1,1455,0,670,102,204,2,F42,,"Size: 832x1216, Seed: 1621280990, Steps: 29, Sampler: Euler, Version: ",N/A,,,,,,
2024-10-04T23:14:19.937Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/3923f4cc-fa17-4ffb-b7fb-c65dc9cea9b9/width=1184/3923f4cc-fa17-4ffb-b7fb-c65dc9cea9b9.jpeg,,,False,None,1,1385,0,515,86,444,9,jboogx_creative,,"Size: , Seed: , Steps: , Sampler: , Version: ",N/A,,,,,,
2024-07-31T08:35:34.057Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/b62d4dda-8188-4929-8606-e9467e6c6557/width=1024/b62d4dda-8188-4929-8606-e9467e6c6557.jpeg,,,False,None,1,1533,0,564,100,234,3,mototoR,,"Size: , Seed: , Steps: , Sampler: , Version: ",N/A,,,,,,
2024-05-10T17:07:19.260Z,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/e9552cc9-8f54-4e61-b3d0-47400a1b107b/width=832/e9552cc9-8f54-4e61-b3d0-47400a1b107b.jpeg,score_9 score_8 solo 1girl fantasy gl1tt3rsk1n 2d magic upper body marsim yellow skin afro blue afro green dress strapless dress pearl necklace,"3d, watermark, artist's signature,",False,None,1,1394,0,570,95,370,0,JayZero,,"Size: 832x1216, Seed: 2039858796, Steps: 25, Sampler: DPM++ 2M Karras, Version: ",N/A,,,,,,
